last_name,first_name,score
Twarynski,Carsen,0.8237704613246024
Mikheyev,Ilya,0.82128446441493
Steen,Alexander,0.8198807872278849
Jarnkrok,Calle,0.8189357523078797
Fedun,Taylor,0.8162725858477643
Panarin,Artemi,0.8142126447870396
Connor,Kyle,0.8119141022587426
Cousins,Nick,0.8112208184262273
Nyquist,Gustav,0.8051877902486013
Manson,Josh,0.8042177460156379
DeAngelo,Tony,0.8033541352837346
DeBrusk,Jake,0.7998826599679889
Smith,Craig,0.7955266483739252
Ritchie,Brett,0.7948627939622385
Labanc,Kevin,0.7942551224550697
Coburn,Braydon,0.7882326316612308
Heinen,Danton,0.7874741923093097
Cholowski,Dennis,0.7833077735209373
Sorensen,Marcus,0.781835734786
Karlsson,Melker,0.7813920376414898
Staal,Marc,0.779569512195303
Rask,Victor,0.7768763047846734
Girgensons,Zemgus,0.773791677952977
Oesterle,Jordan,0.7700975235027726
Ehn,Christoffer,0.7692173038522014
Schaller,Tim,0.7691578591096915
Paquette,Cedric,0.7682600018742959
Leipsic,Brendan,0.7677673478698126
Janmark,Mattias,0.7651459736749529
Comtois,Max,0.764598591325921
Kakko,Kaapo,0.757291218676255
Greene,Andy,0.7569629221805371
Nieto,Matt,0.7561124958505391
Kessel,Phil,0.7529186038533224
Leddy,Nick,0.7524447175761452
Weal,Jordan,0.7473120477457996
Ryan,Bobby,0.7455923469591652
Farabee,Joel,0.7403066498896804
Matheson,Mike,0.7390430644562002
Hirose,Taro,0.7331544224696699
Forsberg,Filip,0.7304778616788098
Kahun,Dominik,0.7268435306148606
MacEachern,Mackenzie,0.725923088885611
Myers,Philippe,0.7249058127170429
Fabbri,Robby,0.7247612345323431
Maroon,Patrick,0.7247530222724891
Fleury,Haydn,0.7232856859336608
Hunt,Brad,0.722498253840604
Kukan,Dean,0.7208325145125856
Milano,Sonny,0.7206109477585414
Thomas,Robert,0.7202994840627069
Sabourin,Scott,0.7193013511481694
Ferland,Micheal,0.7157609829562718
Tennyson,Matt,0.7149226939072832
Chlapik,Filip,0.7131448943866417
Little,Bryan,0.7128753119643081
Gaudette,Adam,0.7115907623432576
Sanford,Zach,0.7088959417509616
Gurianov,Denis,0.7062524094013497
Nylander,Alexander,0.7041095070162555
