first_player,second_player,faceoffs_together_count
Colin White,Eetu Luostarinen,8
Jack Eichel,Derek Stepan,7
Boone Jenner,Max Domi,7
Elias Lindholm,Christian Dvorak,7
Marcus Johansson,Steven Stamkos,7
Bo Horvat,Radek Faksa,7
Sean Monahan,Radek Faksa,7
Anthony Cirelli,Sebastian Aho,7
Christian Dvorak,Mikko Koivu,7
Ryan Getzlaf,Mikko Koivu,7
Jonathan Toews,Alexander Wennberg,7
Nicklas Backstrom,William Karlsson,7
Alexander Kerfoot,William Karlsson,7
Phillip Danault,William Karlsson,7
Ryan Getzlaf,William Karlsson,7
Sean Couturier,William Karlsson,7
Boone Jenner,William Nylander,7
Evgeny Kuznetsov,Auston Matthews,7
Brock Nelson,Chris Tierney,7
Brayden Point,Brett Howden,7
Brian Boyle,Brett Howden,7
Ryan Johansen,Brett Howden,7
Lars Eller,Brett Howden,7
Colin White,Brett Howden,7
Mark Scheifele,Brett Howden,7
Derek Stepan,Jesperi Kotkaniemi,7
Tyler Bozak,Jesperi Kotkaniemi,7
Sebastian Aho,Jesperi Kotkaniemi,7
Teddy Blueger,Roope Hintz,7
Lars Eller,Roope Hintz,7
Ryan O'Reilly,Roope Hintz,7
Frans Nielsen,Sam Steel,7
Lars Eller,Rhett Gardner,7
Ryan Johansen,Blake Lizotte,7
Nazem Kadri,Sam Lafferty,7
Boone Jenner,Paul Stastny,7
Phillip Danault,Paul Stastny,7
Mikael Backlund,Paul Stastny,7
Claude Giroux,Cody Eakin,7
Sidney Crosby,Cody Eakin,7
Mathew Barzal,Nick Paul,7
Ryan Strome,Nick Paul,7
Paul Stastny,Nate Thompson,7
Adrian Kempe,Tomas Nosek,7
Bryan Little,Barclay Goodrow,7
Nate Thompson,Michael Amadio,7
Erik Haula,Michael Amadio,7
Leo Komarov,Lucas Wallmark,7
Sidney Crosby,Colby Cave,7
Evgeni Malkin,Colby Cave,7
Ryan Getzlaf,Bryan Little,7
Nathan MacKinnon,Mark Scheifele,7
Ryan Getzlaf,Jordan Staal,7
Adam Henrique,Elias Lindholm,7
Ryan Getzlaf,Mikael Backlund,7
Claude Giroux,Evgeny Kuznetsov,7
Elias Lindholm,Nicklas Backstrom,7
Claude Giroux,Lars Eller,7
Mikael Backlund,Lars Eller,7
